	小分類名
10100	ドリンク
10101	緑茶
10102	混合・健康茶
10103	特保・機能性表示
10104	紅茶
10105	スポーツ飲料
10106	ミネラルウォーター・炭酸水
10107	コーヒー
10108	果汁飲料
10109	野菜飲料
10110	炭酸飲料
10111	乳性飲料
10112	ゼリー飲料
10113	小瓶入りドリンク
10114	エナジードリンク
10115	季節品
10116	その他飲料
10117	CBDドリンク
10119	ワールドイーツドリンク　その他
10194	催事
10196	ドリンク地域スポット
10197	ドリンク評価損 A
10198	ドリンク評価損 B
10199	クラス
10500	和風調味料
10501	醤油
10502	つゆ
10503	なべつゆ
10504	ぽんず
10505	みりん風・料理酒
10506	酢
10507	飲用酢
10508	砂糖
10509	塩
10510	漬物
10511	みそ
10512	だし
10598	和風調味料評価損B
10600	洋風調味料
10601	マヨネーズ
10602	ドレッシング
10603	油
10604	オリーブオイル
10605	ごま油
10606	たれ
10607	レモン・果汁
10608	ソース
10609	ケチャップ
10610	和風スパイス
10611	洋風スパイス
10612	その他調味料
10695	嗜好品アウトレット
10696	嗜好品地域スポット
10697	嗜好品評価損 A
10698	洋風調味料評価損B
10700	米
10701	銘柄米
10702	産地精米
10703	ブレンド米
10704	無洗銘柄米
10705	無洗ブレンド米
10706	玄米
10707	雑穀
10708	もち米
10709	その他・輸入米
10794	催事
10798	米評価損 B
10800	グロサリー
10801	カレールー
10802	シチュー
10803	洋風レトルト
10804	レトルトカレー
10805	和風レトルト
10806	炊き込みご飯の素
10807	レンジ・オーブン
10808	スープ
10809	即席味噌汁
10810	フリーズドライ
10811	パスタ
10812	パスタソース
10813	パックライス
10814	農産缶詰
10815	フルーツ缶詰
10816	魚介缶詰
10817	蓄肉缶詰
10818	瓶詰
10819	粉
10820	餅
10821	鏡餅
10822	中華
10823	韓国
10824	エスニック
10825	ブラジル
10826	フィリピン
10827	中国
10828	台湾
10829	香港
10830	ワールドイーツグロサリー　その他
10894	催事
10898	グロサリー評価損B
10900	乾物
10901	ふりかけ・茶漬
10902	椎茸
